,Endereços,Identificador
1567,"""falling-resonance-9f91.westernroad.workers.dev""","""hostname"""
1568,"""fancy-rain-22bf.vakagew948.workers.dev""","""hostname"""
1569,"""fancy-sky-8346.on.fleek.co""","""hostname"""
1570,"""fancy.bibirgadangdicipok.workers.dev""","""hostname"""
1571,"""fancyexpeditions.com""","""domain"""
1572,"""fast.for-orders.com""","""hostname"""
1573,"""faturamentoshyper.com""","""domain"""
1574,"""fax-29042022-00512fax-1311615844.cos.ap-nanjing.myqcloud.com""","""hostname"
1575,"""fax-doc25042022webfax-1311433986.cos.ap-nanjing.myqcloud.com""","""hostname"
1576,"""fax07032022doc1-1310019602.cos.na-siliconvalley.myqcloud.com""","""hostname"
1577,"""fax07042022fax498apps58-1310726006.cos.ap-seoul.myqcloud.com""","""hostname"
1578,"""fb-case-id-28031803-fcdc-48af.web.app""","""hostname"""
1579,"""fb-pages.proteksion-help.workers.dev""","""hostname"""
1580,"""fb7927.bget.ru""","""hostname"""
1581,"""fbnoticehlprcvry01.co.vu""","""hostname"""
1582,"""fbprotectioncommunitystandard.tk""","""domain"""
1583,"""fbptties.ml""","""domain"""
1584,"""fcdas.adck1o.cn""","""hostname"""
1585,"""fdsdfghng44.webcindario.com""","""hostname"""
1586,"""fdx17.hyperphp.com""","""hostname"""
1587,"""federales.validacionoficial.com""","""hostname"""
1588,"""feedback.digiresponse.in""","""hostname"""
1589,"""feelbons.com""","""domain"""
1590,"""felicidadessgrupo-18052022-tepremia.atwebpages.com""","""hostname"""
1591,"""ferns0987.wixsite.com""","""hostname"""
1592,"""ferrumtransport.com""","""domain"""
1593,"""ff-member-gareza.com""","""domain"""
1594,"""fghdskjhgjhkljg.ihostfull.com""","""hostname"""
1595,"""fghjr74rhudfguhtfguji.blogspot.com""","""hostname"""
1596,"""fhbhawai.com""","""domain"""
1597,"""fico.gustavocoker.repl.co""","""hostname"""
1598,"""fico.williamkapp.repl.co""","""hostname"""
1599,"""ficohsa01.x10.mx""","""hostname"""
1600,"""ficohsasindario.webcindario.com""","""hostname"""
1601,"""ficohsavalidar.ficohsabanco.repl.co""","""hostname"""
1602,"""ficoonlinealos.webcindario.com""","""hostname"""
1603,"""ficoshmacofig.x10.mx""","""hostname"""
1604,"""ficosvconfig.webcindario.com""","""hostname"""
1605,"""fidelitybank-mn.net""","""domain"""
1606,"""fidelitybank-ng.online""","""domain"""
1607,"""fighting40s.com""","""domain"""
1608,"""files.landing-invoice.workers.dev""","""hostname"""
1609,"""files.recloud-shared.workers.dev""","""hostname"""
1610,"""finalsolutions.eu""","""domain"""
1611,"""financepouche.com""","""domain"""
1612,"""fincloud.center""","""domain"""
1613,"""finfutureonliup.firebaseapp.com""","""hostname"""
1614,"""finfutureonliup.web.app""","""hostname"""
1615,"""fire.martobang.workers.dev""","""hostname"""
1616,"""firstsourcesbus.com""","""domain"""
1617,"""fixederror.org""","""domain"""
1618,"""fixemobileconnectinfoline.justns.ru""","""hostname"""
1619,"""fixi.rest""","""domain"""
1620,"""fixingtodaymailuserupdates.pages.dev""","""hostname"""
1621,"""fixupalltokenwallets.com""","""domain"""
1622,"""fjjfjdf.sitey.me""","""hostname"""
1623,"""flat-9be3.marpuasabentar.workers.dev""","""hostname"""
1624,"""flcancer39-px.rtrk.com""","""hostname"""
1625,"""flcosha.com""","""domain"""
1626,"""flightscare.co.uk""","""hostname"""
1627,"""floral-rain-5628.on.fleek.co""","""hostname"""
1628,"""florejackie.fr""","""domain"""
1629,"""flow.page""","""domain"""
1630,"""fluksrv.mycpanel.rs""","""hostname"""
1631,"""flyairprestige.com""","""domain"""
1632,"""fmp.wordpressmlm.com""","""hostname"""
1633,"""fmwebapp.azurewebsites.net""","""hostname"""
1634,"""fnxjbjfn234.weeblysite.com""","""hostname"""
1635,"""focusmuabdullah.com""","""domain"""
1636,"""folder-document.protect-shaared.workers.dev""","""hostname"""
1637,"""folder-private.erinlemono.workers.dev""","""hostname"""
1638,"""folder.verify-files.workers.dev""","""hostname"""
1639,"""folkstaracademy.com""","""domain"""
1640,"""foma-ura-lote.firebaseapp.com""","""hostname"""
1641,"""forcemilperu.com""","""domain"""
1642,"""foresta-mod.firebaseapp.com""","""hostname"""
1643,"""formez-vous.eligibilite-web.com""","""hostname"""
1644,"""forms.formium.io""","""hostname"""
1645,"""forms.monday.com""","""hostname"""
1646,"""forms.zoho.com""","""hostname"""
1647,"""forms.zoho.eu""","""hostname"""
1648,"""forms.zohopublic.eu""","""hostname"""
1649,"""fortworthphysicaltherapist.com""","""domain"""
1650,"""fotracevent.com""","""domain"""
1651,"""foundation-app.one""","""domain"""
1652,"""foundlation.app""","""domain"""
1653,"""foxtopgame.xyz""","""domain"""
1654,"""fpalpha.myportfolio.com""","""hostname"""
1655,"""fpmaam.org""","""domain"""
1656,"""fr-europe564598-com.filesusr.com""","""hostname"""
1657,"""fra1.digitaloceanspaces.com""","""hostname"""
1658,"""fragrant-grass-5770.scrtygdjahg.workers.dev""","""hostname"""
1659,"""francoislaplalus.wixsite.com""","""hostname"""
1660,"""frankfurtertsparkasse.web.app""","""hostname"""
1661,"""frankobeauty.com""","""domain"""
1662,"""fredsamasont.blogspot.com""","""hostname"""
1663,"""free-covid-19-stimulus-bonus.nethouse.ru""","""hostname"""
1664,"""freedomtg3656.club""","""domain"""
1665,"""freg-nine.pt""","""domain"""
1666,"""friendsofnechockey.com""","""domain"""
1667,"""frisharepoint.firebaseapp.com""","""hostname"""
1668,"""frisharepoint.web.app""","""hostname"""
1669,"""friss.com.ec""","""hostname"""
1670,"""frosty-lab-d5f8.source0542-mail-docxs.workers.dev""","""hostname"""
1671,"""frosty-violet-0628.on.fleek.co""","""hostname"""
1672,"""ftdggz.hyperphp.com""","""hostname"""
1673,"""ftp://anonymous:anonymous@146.19.191.118/z1.sh""","""url"""
1674,"""ftp://anonymous:anonymous@159.223.10.46/ftp1.sh""","""url"""
1675,"""ftp://anonymous:anonymous@2.56.59.196/Saitama1.sh""","""url"""
1676,"""ftp://anonymous:anonymous@212.192.241.132/SystemsUpdate1.sh""","""url"""
1677,"""ftp.cnc.fr""","""hostname"""
1678,"""ftx-ca.com""","""domain"""
1679,"""ftx-pro-register.pro""","""domain"""
1680,"""ftx-register.biz""","""domain"""
1681,"""ftx-signup.pro""","""domain"""
1682,"""ftx.ceo""","""domain"""
1683,"""ftx.cool""","""domain"""
1684,"""ftx.tours""","""domain"""
1685,"""ftx012.com""","""domain"""
1686,"""ftx0x.com""","""domain"""
1687,"""ftx1s.com""","""domain"""
1688,"""ftx28.com""","""domain"""
1689,"""ftx38.com""","""domain"""
1690,"""ftx39.com""","""domain"""
1691,"""ftx6.vip""","""domain"""
1692,"""ftx666888123ftxapp.com""","""domain"""
1693,"""ftx68.com""","""domain"""
1694,"""ftx75.com""","""domain"""
1695,"""ftx777.com""","""domain"""
1696,"""ftxbic.com""","""domain"""
1697,"""furryvengeancefve1.blogspot.com""","""hostname"""
1698,"""fwzf322.hyperphp.com""","""hostname"""
1699,"""fx164fax08022022fax-1310019602.cos.eu-frankfurt.myqcloud.com""","""hostname"
1700,"""fx23032022fx1apps87-1310418193.cos.eu-frankfurt.myqcloud.com""","""hostname"
1701,"""fx406543docs4580246-1309906520.cos.eu-frankfurt.myqcloud.com""","""hostname"
1702,"""fxdxv-myaaa-aaaad-qcmka-cai.ic.fleek.co""","""hostname"""
1703,"""fxhalifax.com""","""domain"""
1704,"""fyndiqaq.cc""","""domain"""
1705,"""g-mtcc.com""","""domain"""
1706,"""g.elatsangelo.repl.co""","""hostname"""
1707,"""g.umuyasu.com""","""hostname"""
1708,"""g2-case.com""","""domain"""
1709,"""galsinsights.com""","""domain"""
1710,"""game.hicage.com""","""hostname"""
1711,"""garena-xacminhtaikhoan.com""","""domain"""
1712,"""garenafreefirebts.com""","""domain"""
1713,"""gartic-193822.azurewebsites.net""","""hostname"""
1714,"""gartic-39482.azurewebsites.net""","""hostname"""
1715,"""gatewaytechitservices.com""","""domain"""
1716,"""gc.elin.co.za""","""hostname"""
1717,"""geg.li""","""domain"""
1718,"""gemini-00e.blogspot.com""","""hostname"""
1719,"""geminimobimovel.blogspot.com""","""hostname"""
1720,"""gen-30.webcindario.com""","""hostname"""
1721,"""genath.hyperphp.com""","""hostname"""
1722,"""genehmigencorner.com""","""domain"""
1723,"""generator.discordnitrogift.com""","""hostname"""
1724,"""genie-alba.firebaseapp.com""","""hostname"""
1725,"""gentl.bibirkumaumeletus.workers.dev""","""hostname"""
1726,"""gentle-haze-0402.on.fleek.co""","""hostname"""
1727,"""geodrive.in""","""domain"""
1728,"""gerenciador-empresa-aut.com""","""domain"""
1729,"""gesolutionsca.com""","""domain"""
1730,"""gestionarcitadaviviendaenlinea.com""","""domain"""
1731,"""getapps.vip""","""domain"""
1732,"""getfacts.news""","""domain"""
1733,"""getfremlbb.com""","""domain"""
1734,"""getitapprovedacceptourterms2021.pages.dev""","""hostname"""
1735,"""getlikesfree.com""","""domain"""
1736,"""getrfdeza.blogspot.com""","""hostname"""
1737,"""gfdsnb.lcbcvp.cn""","""hostname"""
1738,"""gfxx.creatorlink.net""","""hostname"""
1739,"""gfytr7.weeblysite.com""","""hostname"""
1740,"""gg.gg""","""domain"""
1741,"""ggffftfhhfft.byethost5.com""","""hostname"""
1742,"""ghorana.com""","""domain"""
1743,"""gift-1212.blogspot.com""","""hostname"""
1744,"""girls-tube.mobi""","""domain"""
1745,"""giveaway-senspark.com""","""domain"""
1746,"""givedrop.org.ru""","""hostname"""
1747,"""globovidrosss.blogspot.com""","""hostname"""
1748,"""glogo.org""","""domain"""
1749,"""glsword.com""","""domain"""
1750,"""gmailposteingangi.de""","""domain"""
1751,"""gmcpharma.site.aplus.net""","""hostname"""
1752,"""gmgroupllc.co""","""domain"""
1753,"""gmlmusic.com""","""domain"""
1754,"""gmxaktuualisieren.yolasite.com""","""hostname"""
1755,"""go.ly""","""domain"""
1756,"""go24link.com""","""domain"""
1757,"""go4here.com""","""domain"""
1758,"""goldwin.incode.jp""","""hostname"""
1759,"""gomlekistanbul.mbs.ist""","""hostname"""
1760,"""goo.su""","""domain"""
1761,"""good12345.tripod.com""","""hostname"""
1762,"""gordybuildinggroup.com""","""domain"""
1763,"""gormanusa-my.sharepoint.com""","""hostname"""
1764,"""gpcarautocenter-web-sand-home.blogspot.com""","""hostname"""
1765,"""grabmaidapkssms80.online""","""domain"""
1766,"""granocoffee.ae""","""domain"""
1767,"""graphic-boulder-301015.web.app""","""hostname"""
1768,"""graydovesgrace.com""","""domain"""
1769,"""greenbx.xyz""","""domain"""
1770,"""greenenvironment.com.pe""","""hostname"""
1771,"""greenerwebhost.com""","""domain"""
1772,"""greenland.co.mz""","""hostname"""
1773,"""greenwayweb.com""","""domain"""
1774,"""groupesuseg.com.br""","""hostname"""
1775,"""grove-5bd0a.firebaseapp.com""","""hostname"""
1776,"""grove-5bd0a.web.app""","""hostname"""
1777,"""grupodetrabajo.hostfree.pw""","""hostname"""
1778,"""grupoexitopaya.hostfree.pw""","""hostname"""
1779,"""grupofsp.com.br""","""hostname"""
1780,"""gruppo26-2022-online.preview-domain.com""","""hostname"""
1781,"""gtara-bisa--loppers.repl.co""","""hostname"""
1782,"""gtigrovvs.com""","""domain"""
1783,"""guiatrabalheonline.com""","""domain"""
1784,"""gurukanth.com""","""domain"""
1785,"""gvorhburya.temp.swtest.ru""","""hostname"""
1786,"""gxa1ij.webwave.dev""","""hostname"""
1787,"""h5.biupsdfe.cc""","""hostname"""
1788,"""h5.coindealhov.net""","""hostname"""
1789,"""h5.coindealkop.com""","""hostname"""
1790,"""h5.deutschese.com""","""hostname"""
1791,"""h5.eurexvky.cc""","""hostname"""
1792,"""h5.gefun73680.top""","""hostname"""
1793,"""h5.hifly57326.top""","""hostname"""
1794,"""h5.hiflyk28075.top""","""hostname"""
1795,"""h5.hsnhc321.top""","""hostname"""
1796,"""h5.hzln019.top""","""hostname"""
1797,"""h5.kpdwpl785.top""","""hostname"""
1798,"""h5.pionexup.com""","""hostname"""
1799,"""h5.qtradesda.cc""","""hostname"""
1800,"""h5.upjcxaq.top""","""hostname"""
1801,"""habi10100200.liveblog365.com""","""hostname"""
1802,"""hahdaeupdate.es.tl""","""hostname"""
1803,"""halaman.zyrosite.com""","""hostname"""
1804,"""halibotton.in""","""domain"""
1805,"""hallden.se""","""domain"""
1806,"""han.gl""","""domain"""
1807,"""handakai.github.io""","""hostname"""
1808,"""handvina.com""","""domain"""
1809,"""hangovertest1.blogspot.com""","""hostname"""
1810,"""hans-ledlite.com""","""domain"""
1811,"""haroldhazard1-wixsite-com.filesusr.com""","""hostname"""
1812,"""harrydesayrah534.wixsite.com""","""hostname"""
1813,"""haunlimited.org""","""domain"""
1814,"""havas666.com""","""domain"""
1815,"""havas777.com""","""domain"""
1816,"""havasgroup.com.au""","""hostname"""
1817,"""hcauditores.co""","""domain"""
1818,"""he.ladoslaperla.repl.co""","""hostname"""
1819,"""healthatlums.web.app""","""hostname"""
1820,"""healthsomenutrition.com""","""domain"""
1821,"""hechoparati.hostfree.pw""","""hostname"""
1822,"""hedefpanel.net""","""domain"""
1823,"""heinthu1.github.io""","""hostname"""
1824,"""hellenic-postbank.com""","""domain"""
1825,"""help-delivrypackge.ml""","""domain"""
1826,"""help-vystarcu.com""","""domain"""
1827,"""help.insecur.saftyalert.workers.dev""","""hostname"""
1828,"""help.pirgolik.ga""","""hostname"""
1829,"""help.validation-page.workers.dev""","""hostname"""
1830,"""helpandsupportaccountcenterrecovery.co.vu""","""hostname"""
1831,"""helpfaturamentohyper.com""","""domain"""
1832,"""helppaccountpageds.co.vu""","""hostname"""
1833,"""hendaklahengkau.martulangsore.workers.dev""","""hostname"""
1834,"""herbpersons.com""","""domain"""
1835,"""hervochapiteaux.blogspot.com""","""hostname"""
1836,"""hex-dao.app""","""domain"""
1837,"""hfj.menu.house""","""hostname"""
1838,"""hg5566dh.com""","""domain"""
1839,"""hgfds.smtqwzm.cn""","""hostname"""
1840,"""hghjhkjjgg.vfgjkkhglkl.workers.dev""","""hostname"""
1841,"""hidden-wave-3848.on.fleek.co""","""hostname"""
1842,"""hidereferrer.net""","""domain"""
1843,"""himalayansherpa.com.au""","""hostname"""
1844,"""himbauane.blogspot.com""","""hostname"""
1845,"""himtecnologia.com""","""domain"""
1846,"""hingehealths.com""","""domain"""
1847,"""hiperconsultacard.com""","""domain"""
1848,"""hipersexta2m.com""","""domain"""
1849,"""hisoftsxwnf.web.app""","""hostname"""
1850,"""hitman71hd-wixsite-com.filesusr.com""","""hostname"""
1851,"""hj52rs.hyperphp.com""","""hostname"""
1852,"""hjy87hjy87.hyperphp.com""","""hostname"""
1853,"""hm.ru""","""domain"""
1854,"""hoje-registro-solucoes.com""","""domain"""
1855,"""hoje-temos-solucoes.com""","""domain"""
1856,"""holy-grass-1942.on.fleek.co""","""hostname"""
1857,"""holyfamilycollegetly.in""","""domain"""
1858,"""home-zimb.firebaseapp.com""","""hostname"""
1859,"""home.babyswap.biz""","""hostname"""
1860,"""homeoffice365login.myportfolio.com""","""hostname"""
1861,"""homepage-login.com""","""domain"""
1862,"""honestpilgrim.com""","""domain"""
1863,"""hostnix.net""","""domain"""
1864,"""hotalingandcoglobal.rest""","""domain"""
1865,"""hounbvc-c7661.web.app""","""hostname"""
1866,"""house18.info""","""domain"""
1867,"""housebase.hercobuly.biz""","""hostname"""
1868,"""houseofscotland.com.au""","""hostname"""
1869,"""hpplotters.in""","""domain"""
1870,"""hsberber.org""","""domain"""
1871,"""hsk99e.hyperphp.com""","""hostname"""
1872,"""ht.ly""","""domain"""
1873,"""htir.co.in""","""hostname"""
1874,"""http://00yt0gt0u0uw0w0g0ut.cvvindustrials.com""","""url"""
1875,"""http://00yt0gt0u0uw0w0g0ut.cvvindustrials.com/""","""url"""
1876,"""http://0333fa5.netsolhost.com/comcast/xfinity.php""","""url"""
1877,"""http://0utlook-live-com-helicopter-procurement-by-nepal-army-np.netlify",
1878,"""http://1.10.147.148:58984/Mozi.m""","""url"""
1879,"""http://1.117.191.34:8081/Server.exe""","""url"""
1880,"""http://1.14.102.175""","""url"""
1881,"""http://1.14.102.175./dpixel""","""url"""
1882,"""http://1.246.223.151:3477/Mozi.m""","""url"""
1883,"""http://1.85.254.117:58808/bin.sh""","""url"""
1884,"""http://1.85.254.117:58808/i""","""url"""
1885,"""http://101.108.64.160:45214/Mozi.m""","""url"""
1886,"""http://101.109.164.116:37963/Mozi.a""","""url"""
1887,"""http://101.20.102.46:44521/bin.sh""","""url"""
1888,"""http://101.20.102.46:44521/i""","""url"""
1889,"""http://101.23.158.250:48470/Mozi.m""","""url"""
1890,"""http://101.33.238.116/arm6""","""url"""
1891,"""http://101.33.238.116/mips""","""url"""
1892,"""http://101.33.238.116/wget.sh""","""url"""
1893,"""http://101.33.238.116/win.exe""","""url"""
1894,"""http://101.74.190.244:59392/Mozi.a""","""url"""
1895,"""http://103-136-40-176.cprapid.com/x01/arm""","""url"""
1896,"""http://103-136-40-176.cprapid.com/x01/mips""","""url"""
1897,"""http://103-136-40-176.cprapid.com/x01/x86""","""url"""
1898,"""http://103-136-41-110.hosted-by-worldstream.net/percarm4""","""url"""
1899,"""http://103-136-41-110.hosted-by-worldstream.net/percarm5""","""url"""
1900,"""http://103-136-41-110.hosted-by-worldstream.net/percarm7""","""url"""
1901,"""http://103-136-41-110.hosted-by-worldstream.net/percx86""","""url"""
1902,"""http://103-136-41-159.hosted-by-worldstream.net/garm""","""url"""
1903,"""http://103-136-41-159.hosted-by-worldstream.net/garm5""","""url"""
1904,"""http://103-136-41-159.hosted-by-worldstream.net/garm6""","""url"""
1905,"""http://103-136-41-159.hosted-by-worldstream.net/garm7""","""url"""
1906,"""http://103-136-41-159.hosted-by-worldstream.net/gmips""","""url"""
1907,"""http://103-136-41-159.hosted-by-worldstream.net/gmpsl""","""url"""
1908,"""http://103-136-41-159.hosted-by-worldstream.net/gspc""","""url"""
1909,"""http://103-136-41-159.hosted-by-worldstream.net/gx86""","""url"""
1910,"""http://103-136-42-186.hosted-by-worldstream.net/bins/Cronarm5""","""url"""
1911,"""http://103-136-42-186.hosted-by-worldstream.net/bins/Cronarm6""","""url"""
1912,"""http://103.125.190.201/datasaver/csrss.exe""","""url"""
1913,"""http://103.136.249.8/bins/arm""","""url"""
1914,"""http://103.136.249.8/bins/arm5""","""url"""
1915,"""http://103.136.249.8/bins/arm6""","""url"""
1916,"""http://103.136.249.8/bins/arm7""","""url"""
1917,"""http://103.136.249.8/bins/m68k""","""url"""
1918,"""http://103.136.249.8/bins/mips""","""url"""
1919,"""http://103.136.249.8/bins/mpsl""","""url"""
1920,"""http://103.136.249.8/bins/ppc""","""url"""
1921,"""http://103.136.249.8/bins/sh4""","""url"""
1922,"""http://103.136.249.8/bins/x86""","""url"""
1923,"""http://103.136.40.141/bins/rx86""","""url"""
1924,"""http://103.136.40.141/bins/ZG9zarm""","""url"""
1925,"""http://103.136.40.141/bins/ZG9zarm6""","""url"""
1926,"""http://103.136.40.141/bins/ZG9zarm7""","""url"""
1927,"""http://103.136.40.141/bins/ZG9zm68k""","""url"""
1928,"""http://103.136.40.141/bins/ZG9zmips""","""url"""
1929,"""http://103.136.40.141/bins/ZG9zppc""","""url"""
1930,"""http://103.136.40.141/bins/ZG9zsh4""","""url"""
1931,"""http://103.136.40.141/bins/ZG9zx86""","""url"""
1932,"""http://103.136.40.141/ZG9zarm""","""url"""
1933,"""http://103.136.40.141/ZG9zarm5""","""url"""
1934,"""http://103.136.40.141/ZG9zarm6""","""url"""
1935,"""http://103.136.40.141/ZG9zarm7""","""url"""
1936,"""http://103.136.40.141/ZG9zmpsl""","""url"""
1937,"""http://103.136.40.141/ZG9zx86""","""url"""
1938,"""http://103.136.40.142/bins/wefwefefw.arm5""","""url"""
1939,"""http://103.136.40.142/bins/wefwefefw.arm6""","""url"""
1940,"""http://103.136.40.142/bins/wefwefefw.m68k""","""url"""
1941,"""http://103.136.40.142/bins/wefwefefw.mips""","""url"""
1942,"""http://103.136.40.142/bins/wefwefefw.mpsl""","""url"""
1943,"""http://103.136.40.142/bins/wefwefefw.sh4""","""url"""
1944,"""http://103.136.40.142/bins/wefwefefw.spc""","""url"""
1945,"""http://103.136.40.142/bins/wefwefefw.x86""","""url"""
1946,"""http://103.136.40.142/lol.arm5""","""url"""
1947,"""http://103.136.40.142/lol.arm6""","""url"""
1948,"""http://103.136.40.142/lol.mips""","""url"""
1949,"""http://103.136.40.142/lol.mpsl""","""url"""
1950,"""http://103.136.40.142/lol.ppc""","""url"""
1951,"""http://103.136.40.142/lol.x86""","""url"""
1952,"""http://103.136.40.176/bins/apep.arm""","""url"""
1953,"""http://103.136.40.176/bins/apep.arm5""","""url"""
1954,"""http://103.136.40.176/bins/apep.arm6""","""url"""
1955,"""http://103.136.40.176/bins/apep.m68k""","""url"""
1956,"""http://103.136.40.176/bins/apep.mips""","""url"""
1957,"""http://103.136.40.176/bins/apep.mpsl""","""url"""
1958,"""http://103.136.40.176/bins/apep.ppc""","""url"""
1959,"""http://103.136.40.176/bins/apep.sh4""","""url"""
1960,"""http://103.136.40.176/bins/apep.spc""","""url"""
1961,"""http://103.136.40.176/bins/apep.x86""","""url"""
1962,"""http://103.136.40.176/bins/percarm""","""url"""
1963,"""http://103.136.40.176/bins/percarm6""","""url"""
1964,"""http://103.136.40.176/bins/percm68k""","""url"""
1965,"""http://103.136.40.176/bins/percmips""","""url"""
1966,"""http://103.136.40.176/bins/percppc""","""url"""
1967,"""http://103.136.40.176/bins/rubix.arm""","""url"""
1968,"""http://103.136.40.176/bins/rubix.arm5""","""url"""
1969,"""http://103.136.40.176/bins/rubix.arm6""","""url"""
1970,"""http://103.136.40.176/bins/rubix.arm7""","""url"""
1971,"""http://103.136.40.176/bins/rubix.m68k""","""url"""
1972,"""http://103.136.40.176/bins/rubix.mips""","""url"""
1973,"""http://103.136.40.176/bins/rubix.mpsl""","""url"""
1974,"""http://103.136.40.176/bins/rubix.ppc""","""url"""
1975,"""http://103.136.40.176/bins/rubix.sh4""","""url"""
1976,"""http://103.136.40.176/bins/rubix.spc""","""url"""
1977,"""http://103.136.40.176/bins/rubix.x86""","""url"""
1978,"""http://103.136.40.176/x01/arc""","""url"""
1979,"""http://103.136.40.176/x01/arm""","""url"""
1980,"""http://103.136.40.176/x01/arm5""","""url"""
1981,"""http://103.136.40.176/x01/arm6""","""url"""
1982,"""http://103.136.40.176/x01/arm7""","""url"""
1983,"""http://103.136.40.176/x01/m68k""","""url"""
1984,"""http://103.136.40.176/x01/mips""","""url"""
1985,"""http://103.136.40.176/x01/mpsl""","""url"""
1986,"""http://103.136.40.176/x01/ppc""","""url"""
1987,"""http://103.136.40.176/x01/sh4""","""url"""
1988,"""http://103.136.40.176/x01/x86""","""url"""
1989,"""http://103.136.40.243/bins/Cron""","""url"""
1990,"""http://103.136.40.243/bins/t""","""url"""
1991,"""http://103.136.41.100/bins/rx86""","""url"""
1992,"""http://103.136.41.110/bins/percarm5""","""url"""
1993,"""http://103.136.41.110/bins/percarm6""","""url"""
1994,"""http://103.136.41.110/bins/percm68k""","""url"""
1995,"""http://103.136.41.110/bins/percmips""","""url"""
1996,"""http://103.136.41.110/bins/percmpsl""","""url"""
1997,"""http://103.136.41.110/bins/percppc""","""url"""
1998,"""http://103.136.41.110/bins/percsh4""","""url"""
1999,"""http://103.136.41.110/percarm4""","""url"""
2000,"""http://103.136.41.110/percarm5""","""url"""
2001,"""http://103.136.41.110/percarm6""","""url"""
2002,"""http://103.136.41.110/perci686""","""url"""
2003,"""http://103.136.41.110/percm68k""","""url"""
2004,"""http://103.136.41.110/percmips""","""url"""
2005,"""http://103.136.41.110/percmpsl""","""url"""
2006,"""http://103.136.41.110/percppc""","""url"""
2007,"""http://103.136.41.110/percsh4""","""url"""
2008,"""http://103.136.41.110/percspark""","""url"""
2009,"""http://103.136.41.110/percx86""","""url"""
2010,"""http://103.136.41.159/garm""","""url"""
2011,"""http://103.136.41.159/garm7""","""url"""
2012,"""http://103.136.41.159/gx86""","""url"""
2013,"""http://103.136.42.186/Cronx86""","""url"""
2014,"""http://103.136.43.52/bins/Tsunami.arm""","""url"""
2015,"""http://103.136.43.52/bins/Tsunami.arm5""","""url"""
2016,"""http://103.136.43.52/bins/Tsunami.arm6""","""url"""
2017,"""http://103.136.43.52/bins/Tsunami.arm7""","""url"""
2018,"""http://103.136.43.52/bins/Tsunami.mips""","""url"""
2019,"""http://103.136.43.52/bins/Tsunami.mpsl""","""url"""
2020,"""http://103.136.43.52/bins/Tsunami.ppc""","""url"""
2021,"""http://103.136.43.52/bins/Tsunami.sh4""","""url"""
2022,"""http://103.138.108.96/docline/vbc.exe""","""url"""
2023,"""http://103.139.45.3/__cloud2protect/.winlogon.exe""","""url"""
2024,"""http://103.139.45.3/cloudprotect/.winlogon.exe""","""url"""
2025,"""http://103.139.45.3/diskoncloud/.winlogon.exe""","""url"""
2026,"""http://103.139.45.3/fdcloudprotector/.winlogon.exe""","""url"""
2027,"""http://103.139.45.3/filespace/.winlogon.exe""","""url"""
2028,"""http://103.139.45.3/spacedata/.winlogon.exe""","""url"""
2029,"""http://103.139.45.3/winstream/.winlogon.exe""","""url"""
2030,"""http://103.141.137.109/datalog/vbc.exe""","""url"""
2031,"""http://103.141.137.109/msdata_stream/vbc.exe""","""url"""
2032,"""http://103.145.13.158/setup.exe""","""url"""
2033,"""http://103.145.254.203/bitter/sleep.exe""","""url"""
2034,"""http://103.147.185.53/gdrive/scrss.exe""","""url"""
2035,"""http://103.147.185.53/windows_cloud/scrss.exe""","""url"""
2036,"""http://103.149.12.106/cloudfile/scrss.exe""","""url"""
2037,"""http://103.149.12.43/clouddoc/.winlogon.exe""","""url"""
2038,"""http://103.149.12.43/gdrive/.winlogon.exe""","""url"""
2039,"""http://103.149.13.182/cloudprotect/.svchost.exe""","""url"""
2040,"""http://103.149.13.182/data_on_space/.svchost.exe""","""url"""
2041,"""http://103.149.13.182/data2cloud/.svchost.exe""","""url"""
2042,"""http://103.149.13.182/diskoncloud/.svchost.exe""","""url"""
2043,"""http://103.149.13.182/filespace/.svchost.exe""","""url"""
2044,"""http://103.149.13.182/msdrive10/.svchost.exe""","""url"""
2045,"""http://103.149.13.182/spacedata/.svchost.exe""","""url"""
2046,"""http://103.149.13.182/winstream/.svchost.exe""","""url"""
2047,"""http://103.149.200.235/index_dnacn.asp""","""url"""
2048,"""http://103.151.123.228/datalog/vbc.exe""","""url"""
2049,"""http://103.153.254.67/bins/arm""","""url"""
2050,"""http://103.153.254.67/bins/arm5""","""url"""
2051,"""http://103.153.254.67/bins/arm6""","""url"""
2052,"""http://103.153.254.67/bins/arm7""","""url"""
2053,"""http://103.153.254.67/bins/m68k""","""url"""
2054,"""http://103.153.254.67/bins/mips""","""url"""
2055,"""http://103.153.254.67/bins/mpsl""","""url"""
2056,"""http://103.153.254.67/bins/phantom.m68k""","""url"""
2057,"""http://103.153.254.67/bins/ppc""","""url"""
2058,"""http://103.153.254.67/bins/sh4""","""url"""
2059,"""http://103.153.254.67/bins/x86""","""url"""
2060,"""http://103.156.90.79/datalog/vbc.exe""","""url"""
2061,"""http://103.156.91.153/__cloud_for_file/vbc.exe""","""url"""
2062,"""http://103.156.91.153/365space/vbc.exe""","""url"""
2063,"""http://103.156.91.153/cloudfile/vbc.exe""","""url"""
2064,"""http://103.156.91.153/cloudprotect/vbc.exe""","""url"""
2065,"""http://103.156.91.153/data_on_space/vbc.exe""","""url"""
2066,"""http://103.156.91.153/data2cloud/vbc.exe""","""url"""
2067,"""http://103.156.91.153/diskoncloud/vbc.exe""","""url"""
2068,"""http://103.156.91.153/fdcloudprotector/vbc.exe""","""url"""
